"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"45","Kenneth Walker III","SEA","10","RB16","48","49","41","46.0"
"46","Alvin Kamara","NO","12","RB17","49","52","39","46.7"
"47","Mark Andrews","BAL","14","TE3","46","48","48","47.3"
"48","Trey McBride","ARI","11","TE4","50","46","47","47.7"
"49","DeVonta Smith","PHI","5","WR23","53","45","46","48.0"
"50","Anthony Richardson","IND","14","QB6","44","54","52","50.0"
"51","Dalton Kincaid","BUF","12","TE5","57","51","49","52.3"
"52","Malik Nabers","NYG","11","WR24","67","39","54","53.3"
"53","Amari Cooper","CLE","10","WR25","51","57","56","54.7"
"54","Aaron Jones","MIN","6","RB18","52","59","55","55.3"
"55","Tee Higgins","CIN","12","WR26","59","55","59","57.7"
"56","George Pickens","PIT","9","WR27","68","56","51","58.3"
"57","Zay Flowers","BAL","14","WR28","65","50","61","58.7"
"58","James Conner","ARI","11","RB19","58","60","58","58.7"
"59","Rhamondre Stevenson","NE","14","RB20","60","68","50","59.3"
"60","Joe Burrow","CIN","12","QB7","55","63","63","60.3"
"61","David Montgomery","DET","5","RB21","47","64","73","61.3"
"62","Kyle Pitts","ATL","12","TE6","61","58","65","61.3"
"63","George Kittle","SF","9","TE7","54","62","69","61.7"
"64","D'Andre Swift","CHI","7","RB22","71","66","57","64.7"
"65","Tank Dell","HOU","14","WR29","62","53","80","65.0"
"66","Kyler Murray","ARI","11","QB8","56","71","74","67.0"
"67","Keenan Allen","CHI","7","WR30","78","61","67","68.7"
"68","Zamir White","LV","10","RB23","66","78","62","68.7"
"69","Najee Harris","PIT","9","RB24","70","74","64","69.3"
"70","Dak Prescott","DAL","7","QB9","64","73","72","69.7"
"71","Evan Engram","JAC","12","TE8","72","72","70","71.3"
"72","Christian Kirk","JAC","12","WR31","77","65","75","72.3"
"73","Jordan Love","GB","10","QB10","73","85","60","72.7"
"74","Terry McLaurin","WAS","14","WR32","80","67","71","72.7"
"75","Raheem Mostert","MIA","6","RB25","63","79","79","73.7"
"76","Chris Godwin","TB","11","WR33","89","77","66","77.3"
"77","Zack Moss","CIN","12","RB26","85","91","68","81.3"
"78","Jayden Reed","GB","10","WR34","92","70","87","83.0"
"79","Calvin Ridley","TEN","5","WR35","93","80","78","83.7"
"80","Hollywood Brown","KC","6","WR36","84","81","89","84.7"
"81","Jake Ferguson","DAL","7","TE9","75","90","90","85.0"
"82","Tony Pollard","TEN","5","RB27","91","84","82","85.7"
"83","Jaylen Warren","PIT","9","RB28","90","95","77","87.3"
"84","Nick Chubb","CLE","10","RB29","88","89","86","87.7"
"85","David Njoku","CLE","10","TE10","86","88","91","88.3"
"86","Rashee Rice","KC","6","WR37","98","83","88","89.7"
"87","Diontae Johnson","CAR","11","WR38","97","92","84","91.0"
"88","Devin Singletary","NYG","11","RB30","95","103","76","91.3"
"89","Brock Purdy","SF","9","QB11","81","100","95","92.0"
"90","Jonathon Brooks","CAR","11","RB31","110","87","83","93.3"
"91","Austin Ekeler","WAS","14","RB32","102","99","81","94.0"
"92","Brian Robinson Jr.","WAS","14","RB33","96","106","85","95.7"
"93","Jordan Addison","MIN","6","WR39","106","75","108","96.3"
"94","Javonte Williams","DEN","14","RB34","105","93","92","96.7"
"95","DeAndre Hopkins","TEN","5","WR40","103","94","93","96.7"
"96","Xavier Worthy","KC","6","WR41","119","76","98","97.7"
"97","Rome Odunze","CHI","7","WR42","100","69","127","98.7"
"98","Ladd McConkey","LAC","5","WR43","124","86","97","102.3"
"99","Brock Bowers","LV","10","TE11","115","82","111","102.7"
"100","Tua Tagovailoa","MIA","6","QB12","99","105","104","102.7"
"101","Jared Goff","DET","5","QB13","101","111","99","103.7"
"102","Christian Watson","GB","10","WR44","117","101","94","104.0"
"103","Tyjae Spears","TEN","5","RB35","109","108","96","104.3"
"104","Trey Benson","ARI","11","RB36","114","104","101","106.3"
"105","Jayden Daniels","WAS","14","QB14","111","112","100","107.7"
